Selection:  EFST: [x, y]: [498 499], 0 f: 0.00291 s: 0.00291 g: 10, idx: 41, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [498 499], 0 f: 0.00291 s: 0.00291 g: 10, idx: 41, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [498 499], 1 f: 0.00291 s: 0.00291 g: 10, idx: 41, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [498 499], 1 f: 0.00291 s: 0.00291 g: 10, idx: 41, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [497 500], 2 f: 0.00291 s: 0.00291 g: 9, idx: 39, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [498 499], 2 f: 0.00291 s: 0.00244 g: 10, idx: 41, ggf: 1.00000, nof: 1.00000, nwof: 0.84091
Selection:  EFST: [x, y]: [496 501], 0 f: 0.00291 s: 0.00291 g: 10, idx: 44, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [498 499], 2 f: 0.00291 s: 0.00246 g: 10, idx: 41, ggf: 1.00000, nof: 1.00000, nwof: 0.84444
Selection:  EFST: [x, y]: [496 501], 1 f: 0.00291 s: 0.00291 g: 10, idx: 44, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [498 499], 2 f: 0.00291 s: 0.00246 g: 10, idx: 41, ggf: 1.00000, nof: 1.00000, nwof: 0.84783
Selection:  EFST: [x, y]: [495 500], 0 f: 0.00292 s: 0.00292 g: 11, idx: 46, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [495 500], 0 f: 0.00292 s: 0.00292 g: 11, idx: 46, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [495 500], 1 f: 0.00292 s: 0.00292 g: 11, idx: 46, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [495 500], 1 f: 0.00292 s: 0.00292 g: 11, idx: 46, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [494 501], 0 f: 0.00292 s: 0.00292 g: 12, idx: 47, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [495 500], 2 f: 0.00292 s: 0.00247 g: 11, idx: 46, ggf: 1.00000, nof: 1.00000, nwof: 0.84694
Selection:  EFST: [x, y]: [493 500], 0 f: 0.00293 s: 0.00293 g: 13, idx: 49, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 500], 0 f: 0.00293 s: 0.00293 g: 13, idx: 49, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [494 499], 0 f: 0.00293 s: 0.00293 g: 14, idx: 50, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [494 499], 0 f: 0.00293 s: 0.00293 g: 14, idx: 50, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [495 498], 0 f: 0.00293 s: 0.00293 g: 15, idx: 51, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [495 498], 0 f: 0.00293 s: 0.00293 g: 15, idx: 51, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [496 497], 0 f: 0.00293 s: 0.00293 g: 16, idx: 52, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [496 497], 0 f: 0.00293 s: 0.00293 g: 16, idx: 52, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [496 497], 1 f: 0.00293 s: 0.00293 g: 16, idx: 52, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [496 497], 1 f: 0.00293 s: 0.00293 g: 16, idx: 52, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [497 496], 0 f: 0.00293 s: 0.00293 g: 17, idx: 54, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [496 497], 2 f: 0.00293 s: 0.00253 g: 16, idx: 52, ggf: 1.00000, nof: 1.00000, nwof: 0.86364
Selection:  EFST: [x, y]: [497 496], 1 f: 0.00293 s: 0.00293 g: 17, idx: 54, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [496 497], 2 f: 0.00293 s: 0.00254 g: 16, idx: 52, ggf: 1.00000, nof: 1.00000, nwof: 0.86607
Selection:  EFST: [x, y]: [496 497], 0 f: 0.00293 s: 0.00293 g: 18, idx: 56, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [496 497], 2 f: 0.00293 s: 0.00255 g: 16, idx: 52, ggf: 1.00000, nof: 1.00000, nwof: 0.86842
Selection:  EFST: [x, y]: [496 497], 1 f: 0.00293 s: 0.00293 g: 18, idx: 56, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [496 497], 2 f: 0.00293 s: 0.00255 g: 16, idx: 52, ggf: 1.00000, nof: 1.00000, nwof: 0.87069
Selection:  EFST: [x, y]: [495 498], 1 f: 0.00293 s: 0.00293 g: 15, idx: 51, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [496 497], 2 f: 0.00293 s: 0.00256 g: 16, idx: 52, ggf: 1.00000, nof: 1.00000, nwof: 0.87288
Selection:  EFST: [x, y]: [494 497], 0 f: 0.00294 s: 0.00294 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [494 497], 0 f: 0.00294 s: 0.00294 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [494 497], 1 f: 0.00294 s: 0.00294 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [494 497], 1 f: 0.00294 s: 0.00294 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [495 498], 2 f: 0.00293 s: 0.00293 g: 15, idx: 51, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
